Date,Ticker,Open,High,Low,Close,Volume
2023-12-08,ABNB,138.19000244140625,141.5399932861328,137.8000030517578,140.67999267578125,4411200
2023-12-11,ABNB,141.36000061035156,144.5,140.85000610351562,142.91000366210938,4560500
2023-12-12,ABNB,137.89999389648438,141.05999755859375,137.5800018310547,140.5500030517578,6823200
2023-12-13,ABNB,142.9499969482422,144.94000244140625,140.33999633789062,144.50999450683594,6673900
2023-12-14,ABNB,145.0,149.9199981689453,144.97999572753906,147.25999450683594,9568600
2023-12-15,ABNB,147.25999450683594,148.72999572753906,145.86000061035156,146.60000610351562,8239000
2023-12-18,ABNB,147.16000366210938,148.4600067138672,146.1199951171875,147.5,4175200
2023-12-19,ABNB,147.5,148.61000061035156,146.67999267578125,146.91000366210938,5090400
2023-12-20,ABNB,146.5,146.5,140.64999389648438,141.07000732421875,5718000
2023-12-21,ABNB,142.3699951171875,143.49000549316406,140.30999755859375,142.08999633789062,3318500
2023-12-22,ABNB,141.8800048828125,142.50999450683594,139.72999572753906,140.8000030517578,2937400
2023-12-26,ABNB,141.0,141.0,137.77000427246094,138.72000122070312,4384800
2023-12-27,ABNB,139.13499450683594,139.13499450683594,136.0500030517578,136.5500030517578,3989600
2023-12-28,ABNB,136.5500030517578,137.19000244140625,135.69500732421875,137.0,2770800
2023-12-29,ABNB,136.7100067138672,137.8699951171875,135.42999267578125,136.13999938964844,3076100
2024-01-02,ABNB,134.42999267578125,135.60000610351562,133.33999633789062,134.47999572753906,3485200
2024-01-03,ABNB,132.7100067138672,134.5399932861328,130.82000732421875,133.4199981689453,4266600
2024-01-04,ABNB,132.86000061035156,137.03399658203125,132.5,133.72000122070312,4056900
2024-01-05,ABNB,134.25,136.64999389648438,133.89500427246094,135.97999572753906,4006600
2024-01-08,ABNB,137.30999755859375,140.25,136.61000061035156,140.0800018310547,4179700
2024-01-09,ABNB,138.52000427246094,139.5399932861328,137.7899932861328,139.52999877929688,3560900
2024-01-10,ABNB,139.1999969482422,140.8249969482422,138.6999969482422,139.75999450683594,2492700
2024-01-11,ABNB,140.7100067138672,141.1999969482422,137.5500030517578,139.4499969482422,2383500
2024-01-12,ABNB,139.35000610351562,140.99000549316406,137.1300048828125,137.13999938964844,2482000
2024-01-16,ABNB,135.89999389648438,136.0,133.6699981689453,135.02000427246094,5514800
2024-01-17,ABNB,132.83999633789062,135.08999633789062,131.10000610351562,134.97999572753906,3039700
2024-01-18,ABNB,137.0,139.53500366210938,135.22500610351562,137.0399932861328,5273000
2024-01-19,ABNB,138.60000610351562,140.28500366210938,136.32000732421875,139.92999267578125,4089100
2024-01-22,ABNB,141.15499877929688,144.0500030517578,140.89999389648438,142.00999450683594,4482900
2024-01-23,ABNB,142.75,143.92999267578125,140.52000427246094,142.3000030517578,3882100
2024-01-24,ABNB,143.80999755859375,144.10000610351562,139.5800018310547,141.19000244140625,4857200
2024-01-25,ABNB,143.1999969482422,143.2899932861328,140.3679962158203,142.11000061035156,3677500
2024-01-26,ABNB,142.11000061035156,151.52999877929688,141.49000549316406,149.6199951171875,11342600
2024-01-29,ABNB,150.0,153.3800048828125,148.5399932861328,152.6999969482422,5316300
2024-01-30,ABNB,150.5399932861328,151.02999877929688,148.67999267578125,149.44000244140625,3884000
2024-01-31,ABNB,148.64500427246094,148.74000549316406,143.9199981689453,144.13999938964844,4126600
2024-02-01,ABNB,144.8000030517578,146.85000610351562,143.64999389648438,146.49000549316406,3416700
2024-02-02,ABNB,143.99000549316406,148.0800018310547,141.24000549316406,146.5500030517578,4252800
2024-02-05,ABNB,146.08999633789062,146.39999389648438,142.67999267578125,144.77999877929688,3010900
2024-02-06,ABNB,145.10000610351562,145.1300048828125,142.95199584960938,144.52999877929688,3697600
2024-02-07,ABNB,145.1199951171875,148.77000427246094,143.86000061035156,147.5500030517578,4214100
2024-02-08,ABNB,149.25,150.6699981689453,148.05999755859375,150.5399932861328,3508300
2024-02-09,ABNB,145.83999633789062,148.67999267578125,145.17999267578125,147.59500122070312,5006800
2024-02-12,ABNB,148.67999267578125,157.34500122070312,148.33999633789062,153.8000030517578,7909500
2024-02-13,ABNB,149.2100067138672,153.02000427246094,148.5800018310547,150.82000732421875,11801700
2024-02-14,ABNB,146.16000366210938,149.52999877929688,142.57000732421875,148.1999969482422,16021800
2024-02-15,ABNB,148.91000366210938,158.27000427246094,148.75,157.69000244140625,11923000
2024-02-16,ABNB,156.10000610351562,156.10000610351562,151.77999877929688,152.50999450683594,6520100
2024-02-20,ABNB,150.30999755859375,150.67999267578125,145.8800048828125,148.14999389648438,5229700
2024-02-21,ABNB,145.97999572753906,149.25999450683594,145.39599609375,149.24000549316406,4561400
2024-02-22,ABNB,151.02000427246094,155.6999969482422,150.26499938964844,155.25999450683594,6115000
2024-02-23,ABNB,153.27000427246094,155.3000030517578,150.8249969482422,152.66000366210938,4851100
2024-02-26,ABNB,149.9600067138672,150.17999267578125,148.55999755859375,149.27000427246094,5277900
2024-02-27,ABNB,150.0,152.47000122070312,149.22999572753906,152.05999755859375,4623700
2024-02-28,ABNB,152.02999877929688,154.89999389648438,151.7899932861328,153.42999267578125,4329100
2024-02-29,ABNB,153.39999389648438,160.0,153.22000122070312,157.47000122070312,8002300
2024-03-01,ABNB,157.22999572753906,160.97999572753906,156.81100463867188,159.72000122070312,5367300
2024-03-04,ABNB,159.89999389648438,163.01499938964844,157.92999267578125,158.08999633789062,4403200
2024-03-05,ABNB,157.1999969482422,159.97999572753906,156.13999938964844,159.3300018310547,4714300
2024-03-06,ABNB,160.10000610351562,164.58999633789062,160.07000732421875,163.8699951171875,5167900
2024-03-07,ABNB,165.0,165.38499450683594,162.24000549316406,163.5399932861328,3810300
2024-03-08,ABNB,166.0,168.19000244140625,163.47999572753906,164.91000366210938,4105700
2024-03-11,ABNB,163.75999450683594,164.25999450683594,161.97500610351562,162.99000549316406,3149600
2024-03-12,ABNB,163.0,167.0,162.72999572753906,166.6699981689453,3945900
2024-03-13,ABNB,162.4199981689453,168.0,160.69000244140625,164.75999450683594,7502800
2024-03-14,ABNB,165.74000549316406,166.72000122070312,162.72000122070312,166.44000244140625,5078100
2024-03-15,ABNB,166.38999938964844,166.5229949951172,160.16000366210938,160.63999938964844,7153800
2024-03-18,ABNB,161.94500732421875,162.8699951171875,160.60000610351562,161.86000061035156,4296900
2024-03-19,ABNB,161.49000549316406,164.10000610351562,161.05499267578125,161.7899932861328,3420700
2024-03-20,ABNB,162.38999938964844,165.75,162.26499938964844,164.7100067138672,4766300
2024-03-21,ABNB,165.80999755859375,170.10000610351562,165.0,168.17999267578125,5986500
2024-03-22,ABNB,167.0,168.8000030517578,166.63999938964844,167.86000061035156,2837000
2024-03-25,ABNB,167.86000061035156,169.0800018310547,166.27999877929688,167.99000549316406,3216100
2024-03-26,ABNB,169.69000244140625,170.0,167.32000732421875,167.38999938964844,2747700
2024-03-27,ABNB,169.11000061035156,169.11000061035156,165.5,166.41000366210938,3921900
2024-03-28,ABNB,166.57000732421875,167.3800048828125,164.58999633789062,164.9600067138672,3416000
2024-04-01,ABNB,166.42999267578125,166.72000122070312,162.75,163.3699951171875,2496300
2024-04-02,ABNB,160.9499969482422,160.97999572753906,158.67999267578125,160.11000061035156,4000900
2024-04-03,ABNB,158.75,161.3300018310547,158.5800018310547,159.33999633789062,2288100
2024-04-04,ABNB,161.22000122070312,163.64999389648438,158.52000427246094,158.83999633789062,3539700
2024-04-05,ABNB,159.14999389648438,162.7100067138672,158.89999389648438,161.77000427246094,2225900
2023-12-08,ACGL,74.81669791892159,75.49183501627374,74.47437386184443,75.40625762939453,1372900
2023-12-11,ACGL,75.43478411125636,76.77554730135546,75.43478411125636,75.70103454589844,1320000
2023-12-12,ACGL,75.85317447167493,76.82309505957505,75.63447186689957,76.338134765625,1372200
2023-12-13,ACGL,76.21451996635251,76.42371880738418,74.11303504879105,74.53142547607422,2106500
2023-12-14,ACGL,74.15107259885374,74.17008737787297,70.3760041702664,71.00359344482422,3856100
2023-12-15,ACGL,70.68029311294822,71.12721660580976,69.27296002402976,69.81497192382812,4577800
2023-12-18,ACGL,71.21278696934539,71.5360962267675,69.95760125919419,70.98457336425781,1849600
2023-12-19,ACGL,71.01310259993095,71.42198925853656,70.70881536013934,71.1557388305664,1954000
