ticker,shortName,longName,symbol,exchange,quoteType,currency,sector,industry,fullTimeEmployees,regularMarketPrice,previousClose,open,dayLow,dayHigh,fiftyTwoWeekLow,fiftyTwoWeekHigh,regularMarketVolume,averageVolume,averageVolume10days,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,beta,trailingEps,forwardEps,dividendRate,dividendYield,payoutRatio,profitMargins,grossMargins,operatingMargins,ebitdaMargins,revenueGrowth,earningsGrowth,totalRevenue,ebitda,recommendationKey,recommendationMean
ASML,ASML Holding N.V. - New York Re,ASML Holding N.V.,ASML,NMS,EQUITY,USD,Technology,Semiconductor Equipment & Materials,43461.0,1389.04,1395.0,1377.29,1363.27,1393.36,578.51,1398.8,1061460,1494003,2087770,539152678912,535551705088.0,48.772472,43.023167,23.946615,1.341,28.48,32.285862,7.37,0.53,0.2672,0.29378,0.52711,0.32841998,0.37743,0.007,0.038,32212000768,12157899776,buy,1.56098
TEAM,Atlassian Corporation,Atlassian Corporation,TEAM,NMS,EQUITY,USD,Technology,Software - Application,14089.0,131.75,128.435,128.75,128.7,132.28,115.53,326.0,5862998,3048732,5206770,34680729600,33112252416.0,,23.398844,25.157534,0.888,-0.7,5.63062,,,0.0,-0.03384,0.83452004,-0.028380001,-0.00828,0.206,,5460076032,-45192000,buy,1.60606
ADSK,"Autodesk, Inc.","Autodesk, Inc.",ADSK,NMS,EQUITY,USD,Technology,Software - Application,15300.0,270.0,269.77,269.41,266.87,271.285,232.67,329.09,1493407,1579355,2269550,57509998592,57685000192.0,52.325584,23.251669,19.786018,1.466,5.16,11.61207,,,0.0,0.16129999,0.92130995,0.25688,0.25726,0.18,0.26,6888000000,1772000000,strong_buy,1.5
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",ADP,NMS,EQUITY,USD,Technology,Software - Application,67000.0,257.87,259.85498,258.035,256.88,260.65,247.18,329.93,2114594,2273993,2068600,104460427264,106472595456.0,25.45607,21.621508,16.38102,0.864,10.13,11.92655,6.8,2.64,0.6081,0.19788,0.48306,0.25891,0.29149,0.071,0.064,20903399424,6093100032,hold,3.0
AXON,"Axon Enterprise, Inc.","Axon Enterprise, Inc.",AXON,NMS,EQUITY,USD,Industrials,Aerospace & Defense,4100.0,613.14,607.29,607.5,605.0,622.3899,469.24,885.92,357908,858060,600350,48706166784,48037462016.0,192.2069,81.338264,15.9759245,1.414,3.19,7.53815,,,0.0,0.100509994,0.60357,-0.00229,0.02783,0.306,,2557957120,71199000,buy,1.52632
BKR,Baker Hughes Company,Baker Hughes Company,BKR,NMS,EQUITY,USD,Energy,Oil & Gas Equipment & Services,,53.8,54.579998,55.09,53.8,55.31,33.6,55.31,15013810,7633614,9912370,53088436224,55591038976.0,18.551723,18.863625,2.793354,,2.9,2.85205,0.92,1.71,0.3103,0.09332,0.23596,0.13133,0.1711,0.003,-0.256,27733000192,4744999936,buy,1.86957
BKNG,Booking Holdings Inc. Common St,Booking Holdings Inc.,BKNG,NMS,EQUITY,USD,Consumer Cyclical,Travel Services,24800.0,5098.5,5150.9,5077.0,5077.0,5129.83,4096.23,5839.41,207688,254355,237350,165241798656,165593104384.0,33.22364,19.164629,-34.77926,1.234,153.46,266.037,38.4,0.75,0.24440001,0.19371,0.86992997,0.44904998,0.37709,0.127,0.135,26038999040,9818999808,buy,1.69231
AVGO,Broadcom Inc.,Broadcom Inc.,AVGO,NMS,EQUITY,USD,Technology,Semiconductors,33000.0,319.955,325.585,319.3,314.11,321.99,138.1,414.61,30259482,29745516,26414510,1516994166784,160919552000.0,67.076515,22.49978,5.4027286,1.218,4.77,14.22036,2.6,0.81,0.4948,0.36198002,0.77325994,0.31765,0.54789,0.164,1.881,63886999552,35002998784,strong_buy,1.26
CDNS,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc.",CDNS,NMS,EQUITY,USD,Technology,Software - Application,12700.0,318.32,317.09,315.5,312.014,323.54,221.56,376.45,1208625,1786440,1749090,86739017728,86196125696.0,82.04124,39.532204,16.665968,1.022,3.88,8.05217,,,0.0,0.20354,0.85545,0.35089,0.36118,0.101,0.207,5212625920,1882690944,buy,1.57692
CHTR,"Charter Communications, Inc.","Charter Communications, Inc.",CHTR,NMS,EQUITY,USD,Communication Services,Telecom Services,94500.0,191.69,192.67,191.81,188.325,192.19,183.75,437.06,1021031,1922018,1813250,26183127040,126120484864.0,5.315862,4.528192,1.6171049,1.058,36.06,42.33257,,,0.0,0.092939995,0.55237,0.23858999,0.40098998,-0.009,-0.054,55098998784,22094000128,hold,2.80952
CTAS,Cintas Corporation,Cintas Corporation,CTAS,NMS,EQUITY,USD,Industrials,Specialty Business Services,48300.0,192.96,193.07,193.07,192.44,195.05,180.39,229.24,1216757,2056829,1927500,77544202240,80198926336.0,41.856834,35.677967,17.318256,0.972,4.61,5.40838,1.8,0.93,0.36360002,0.17584999,0.50249,0.23417999,0.26392,0.093,0.11,10794925056,2848997120,hold,2.54545
CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc.",CSCO,NMS,EQUITY,USD,Technology,Communication Equipment,86200.0,74.59,74.329994,73.94,73.71,75.07,52.11,80.82,13125530,21117277,18787250,294712115200,308613152768.0,28.799227,16.67378,6.266487,0.863,2.59,4.47349,1.64,2.2,0.6293,0.17902,0.64847,0.23604,0.2717,0.075,0.06,57696002048,15676000256,buy,1.96154
CCEP,Coca-Cola Europacific Partners ,Coca-Cola Europacific Partners PLC,CCEP,NMS,EQUITY,USD,Consumer Defensive,Beverages - Non-Alcoholic,41000.0,89.85,89.65,89.03,88.7025,89.88,76.6,100.67,836573,1619786,1669060,40997703680,51510579200.0,22.862595,17.064997,4.3264503,0.362,3.93,5.2651634,2.35,2.62,0.6048,0.07345,0.35463002,0.12945,0.16275999,0.045,0.15,20884000768,3399000064,buy,2.0
CTSH,Cognizant Technology Solutions ,Cognizant Technology Solutions Corporation,CTSH,NMS,EQUITY,USD,Technology,Information Technology Services,349800.0,84.18,84.61,84.62,84.13,85.33,65.15,90.82,3091056,4870781,5170390,41113169920,39445180416.0,19.48611,14.951724,2.7293065,0.954,4.32,5.63012,1.24,1.47,0.2847,0.10203,0.34056,0.15993,0.18114,0.074,-0.521,20856999936,3777999872,buy,2.25
CMCSA,Comcast Corporation,Comcast Corporation,CMCSA,NMS,EQUITY,USD,Communication Services,Telecom Services,182000.0,29.32,29.21,28.982,28.755,29.325,24.133083,35.988754,29380164,38801052,35522640,115554942976,197059117056.0,4.870432,7.653814,1.1037079,0.807,6.02,3.83077,1.32,4.51,0.2159,0.18333,0.71882004,0.17735,0.30844,-0.027,-0.042,123310997504,38034001920,hold,2.53571
CEG,Constellation Energy Corporatio,Constellation Energy Corporation,CEG,NMS,EQUITY,USD,Utilities,Utilities - Independent Power Producers,14215.0,288.95,287.46,287.5,285.44,292.25,161.35,412.7,3785163,2883150,4620130,104683724800,95690571776.0,33.098515,25.013073,6.2879467,1.145,8.73,11.55196,1.55,0.54,0.1736,0.11026,0.20131999,0.16332,0.23944001,0.003,-0.223,24841000960,5948000256,buy,1.72222
CPRT,"Copart, Inc.","Copart, Inc.",CPRT,NMS,EQUITY,USD,Industrials,Specialty Business Services,13800.0,41.4,41.27,41.14,41.12,41.78,37.41,63.85,7503501,8866309,9405480,40075931648,34951372800.0,25.398773,22.967592,4.1742287,1.103,1.63,1.80254,,,0.0,0.34243,0.47624,0.37289003,0.42539,0.007,0.108,4655158784,1980256000,buy,2.33333
CSGP,"CoStar Group, Inc.","CoStar Group, Inc.",CSGP,NMS,EQUITY,USD,Real Estate,Real Estate Services,6593.0,65.6,66.26,65.72,65.26,66.68,57.01,97.43,4985944,5115911,7490260,27802773504,27007576064.0,1093.3334,49.30922,3.2245378,0.841,0.06,1.33038,,,0.0,0.00664,0.79251,-0.061300002,0.05163,0.204,,3056499968,157800000,buy,2.05556
COST,Costco Wholesale Corporation,Costco Wholesale Corporation,COST,NMS,EQUITY,USD,Consumer Defensive,Discount Stores,341000.0,983.25,976.17,971.46,971.01,984.85,844.06,1078.23,1351085,2755086,2834490,436521402368,427423596544.0,52.63651,44.26476,14.40406,1.008,18.68,22.21293,5.2,0.53,0.271,0.02961,0.12876001,0.03659,0.04681,0.083,0.114,280390991872,13125000192,buy,1.88889
CRWD,"CrowdStrike Holdings, Inc.","CrowdStrike Holdings, Inc.",CRWD,NMS,EQUITY,USD,Technology,Software - Infrastructure,10410.0,452.49,453.77,454.69,449.422,458.86,298.0,566.9,1770799,2353781,2626040,114072018944,110131503104.0,,93.61132,28.397764,1.029,-1.27,4.83371,,,0.0,-0.06882,0.74277,-0.05589,-0.020550001,0.222,,4565168128,-93824000,buy,1.88889
CSX,CSX Corporation,CSX Corporation,CSX,NMS,EQUITY,USD,Industrials,Railroads,22935.0,36.64,35.78,36.97,36.61,37.55,26.22,37.55,18056600,13121040,16700160,68307107840,86494961664.0,23.792208,17.513504,5.1898017,1.303,1.54,2.0921,0.52,1.42,0.3377,0.20501,0.45167,0.31642,0.45167,-0.009,0.012,14092000256,6365000192,buy,1.69231
DDOG,"Datadog, Inc.","Datadog, Inc.",DDOG,NMS,EQUITY,USD,Technology,Software - Application,6500.0,130.13,131.25,130.68,129.09,131.86,81.63,201.69,4073311,4712226,6433420,45632786432,42771763200.0,419.7742,55.670116,13.263684,1.263,0.31,2.33752,,,0.0,0.033239998,0.79959,-0.00656,0.0019400001,0.284,-0.337,3211691008,6225000,strong_buy,1.44444
DXCM,"DexCom, Inc.","DexCom, Inc.",DXCM,NMS,EQUITY,USD,Healthcare,Medical Devices,10200.0,72.86,73.92,73.05,71.6958,73.53,54.11,93.25,5247368,6398909,7319280,28572432384,27670085632.0,40.47778,29.3846,10.423463,1.483,1.8,2.47953,,,0.0,0.15958999,0.59014,0.20053,0.22633,0.216,1.099,4515899904,1022099968,strong_buy,1.48276
FANG,"Diamondback Energy, Inc.","Diamondback Energy, Inc.",FANG,NMS,EQUITY,USD,Energy,Oil & Gas E&P,1983.0,154.02,151.85,153.61,153.2001,156.25,114.0,175.69,995532,1772455,2031070,44586651648,66790674432.0,10.808421,14.9878845,1.1303889,0.577,14.25,10.2763,4.0,2.6,0.2739,0.28689,0.74942,0.36628,0.7246,0.42,0.1,14625999872,10597999616,strong_buy,1.3871
